complaint_id,precinct,borough,offense_level,offense_type,occurred_at,hour,is_night,population,source
MOCK-000001,5,MANHATTAN,FELONY,GRAND LARCENY,2025-07-03T05:59:50,5,1,60000,MOCK_NYPD_V1
MOCK-000002,5,MANHATTAN,FELONY,ROBBERY,2025-07-07T20:51:23,20,1,60000,MOCK_NYPD_V1
MOCK-000003,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-07-08T17:40:32,17,0,60000,MOCK_NYPD_V1
MOCK-000004,5,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2025-07-10T03:05:22,3,1,60000,MOCK_NYPD_V1
MOCK-000005,5,MANHATTAN,FELONY,GRAND LARCENY,2025-07-17T16:07:59,16,0,60000,MOCK_NYPD_V1
MOCK-000006,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-07-19T11:22:53,11,0,60000,MOCK_NYPD_V1
MOCK-000007,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-07-22T17:05:48,17,0,60000,MOCK_NYPD_V1
MOCK-000008,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-07-23T09:36:03,9,0,60000,MOCK_NYPD_V1
MOCK-000009,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-07-26T19:16:10,19,0,60000,MOCK_NYPD_V1
MOCK-000010,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-07-27T04:01:08,4,1,60000,MOCK_NYPD_V1
MOCK-000011,5,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2025-08-03T06:02:38,6,0,60000,MOCK_NYPD_V1
MOCK-000012,5,MANHATTAN,FELONY,ROBBERY,2025-08-05T12:18:04,12,0,60000,MOCK_NYPD_V1
MOCK-000013,5,MANHATTAN,FELONY,BURGLARY,2025-08-07T06:42:16,6,0,60000,MOCK_NYPD_V1
MOCK-000014,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-08-10T12:33:01,12,0,60000,MOCK_NYPD_V1
MOCK-000015,5,MANHATTAN,FELONY,BURGLARY,2025-08-11T06:03:49,6,0,60000,MOCK_NYPD_V1
MOCK-000016,5,MANHATTAN,FELONY,GRAND LARCENY,2025-08-13T02:08:56,2,1,60000,MOCK_NYPD_V1
MOCK-000017,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-08-15T11:19:31,11,0,60000,MOCK_NYPD_V1
MOCK-000018,5,MANHATTAN,FELONY,FELONY ASSAULT,2025-08-15T13:00:13,13,0,60000,MOCK_NYPD_V1
MOCK-000019,5,MANHATTAN,MISDEMEANOR,MISDEMEANOR ASSAULT,2025-08-19T05:22:31,5,1,60000,MOCK_NYPD_V1
MOCK-000020,5,MANHATTAN,FELONY,ROBBERY,2025-08-20T16:19:11,16,0,60000,MOCK_NYPD_V1
MOCK-000021,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-08-24T04:05:58,4,1,60000,MOCK_NYPD_V1
MOCK-000022,5,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2025-08-27T18:53:25,18,0,60000,MOCK_NYPD_V1
MOCK-000023,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-08-31T06:25:17,6,0,60000,MOCK_NYPD_V1
MOCK-000024,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-09-01T03:36:35,3,1,60000,MOCK_NYPD_V1
MOCK-000025,5,MANHATTAN,FELONY,GRAND LARCENY,2025-09-01T08:59:08,8,0,60000,MOCK_NYPD_V1
MOCK-000026,5,MANHATTAN,FELONY,BURGLARY,2025-09-02T09:30:25,9,0,60000,MOCK_NYPD_V1
MOCK-000027,5,MANHATTAN,MISDEMEANOR,MISDEMEANOR ASSAULT,2025-09-05T03:29:17,3,1,60000,MOCK_NYPD_V1
MOCK-000028,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-09-06T09:57:24,9,0,60000,MOCK_NYPD_V1
MOCK-000029,5,MANHATTAN,FELONY,BURGLARY,2025-09-06T17:50:54,17,0,60000,MOCK_NYPD_V1
MOCK-000030,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-09-08T12:07:08,12,0,60000,MOCK_NYPD_V1
MOCK-000031,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-09-09T22:01:15,22,1,60000,MOCK_NYPD_V1
MOCK-000032,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-09-10T05:08:52,5,1,60000,MOCK_NYPD_V1
