complaint_id,precinct,borough,offense_level,offense_type,occurred_at,source
312395506,5,MANHATTAN,MISDEMEANOR,DANGEROUS DRUGS,2025-09-05T03:10:00,SOCRATA_qgea-i56i
312402414,5,MANHATTAN,VIOLATION,HARRASSMENT 2,2025-09-05T04:59:00,SOCRATA_qgea-i56i
312407039,5,MANHATTAN,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,2025-09-05T09:55:00,SOCRATA_qgea-i56i
312428459,5,MANHATTAN,FELONY,FORGERY,2025-09-05T15:45:00,SOCRATA_qgea-i56i
312443274,5,MANHATTAN,FELONY,GRAND LARCENY,2025-09-06T01:50:00,SOCRATA_qgea-i56i
312454876,5,MANHATTAN,MISDEMEANOR,OTHER OFFENSES RELATED TO THEFT,2025-09-05T15:45:00,SOCRATA_qgea-i56i
312456278,5,MANHATTAN,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,2025-09-06T11:38:00,SOCRATA_qgea-i56i
312459556,5,MANHATTAN,FELONY,FORGERY,2025-09-06T12:55:00,SOCRATA_qgea-i56i
312459557,5,MANHATTAN,FELONY,FORGERY,2025-09-06T13:18:00,SOCRATA_qgea-i56i
312465603,5,MANHATTAN,MISDEMEANOR,SEX CRIMES,2025-09-06T13:25:00,SOCRATA_qgea-i56i
312469892,5,MANHATTAN,FELONY,GRAND LARCENY,2025-09-06T15:00:00,SOCRATA_qgea-i56i
312474420,5,MANHATTAN,FELONY,GRAND LARCENY,2025-09-05T23:00:00,SOCRATA_qgea-i56i
312476989,5,MANHATTAN,VIOLATION,ADMINISTRATIVE CODE,2025-09-07T02:22:00,SOCRATA_qgea-i56i
312481855,5,MANHATTAN,FELONY,ROBBERY,2025-09-07T02:30:00,SOCRATA_qgea-i56i
312487807,5,MANHATTAN,FELONY,GRAND LARCENY,2025-09-07T02:30:00,SOCRATA_qgea-i56i
312501811,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,2025-09-07T08:26:00,SOCRATA_qgea-i56i
312503881,5,MANHATTAN,FELONY,FORGERY,2025-09-07T16:50:00,SOCRATA_qgea-i56i
312503883,5,MANHATTAN,FELONY,FORGERY,2025-09-07T16:55:00,SOCRATA_qgea-i56i
312503884,5,MANHATTAN,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,2025-09-06T14:00:00,SOCRATA_qgea-i56i
312503885,5,MANHATTAN,FELONY,FELONY ASSAULT,2025-09-07T16:51:00,SOCRATA_qgea-i56i
312509622,5,MANHATTAN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-09-06T03:25:00,SOCRATA_qgea-i56i
312509623,5,MANHATTAN,FELONY,FELONY ASSAULT,2025-09-06T09:27:00,SOCRATA_qgea-i56i
312510986,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-09-05T19:55:00,SOCRATA_qgea-i56i
312510987,5,MANHATTAN,VIOLATION,HARRASSMENT 2,2025-09-06T20:10:00,SOCRATA_qgea-i56i
312515221,5,MANHATTAN,MISDEMEANOR,CRIMINAL TRESPASS,2025-09-08T00:54:00,SOCRATA_qgea-i56i
312516628,5,MANHATTAN,MISDEMEANOR,DANGEROUS DRUGS,2025-09-08T02:14:00,SOCRATA_qgea-i56i
312540751,5,MANHATTAN,FELONY,GRAND LARCENY,2025-09-05T19:00:00,SOCRATA_qgea-i56i
312544414,5,MANHATTAN,FELONY,BURGLARY,2025-09-07T19:25:00,SOCRATA_qgea-i56i
312547584,5,MANHATTAN,FELONY,DANGEROUS DRUGS,2025-09-08T14:25:00,SOCRATA_qgea-i56i
312550565,5,MANHATTAN,FELONY,GRAND LARCENY,2025-09-08T16:03:00,SOCRATA_qgea-i56i
312557803,5,MANHATTAN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-09-06T15:37:00,SOCRATA_qgea-i56i
312564309,5,MANHATTAN,FELONY,MISCELLANEOUS PENAL LAW,2025-09-08T08:17:00,SOCRATA_qgea-i56i
312564311,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-09-06T19:30:00,SOCRATA_qgea-i56i
312564583,5,MANHATTAN,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,2025-09-08T11:52:00,SOCRATA_qgea-i56i
312564850,5,MANHATTAN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-09-08T17:30:00,SOCRATA_qgea-i56i
312575028,5,MANHATTAN,FELONY,GRAND LARCENY,2025-09-09T13:50:00,SOCRATA_qgea-i56i
312575029,5,MANHATTAN,MISDEMEANOR,POSSESSION OF STOLEN PROPERTY,2025-09-09T02:40:00,SOCRATA_qgea-i56i
312577848,5,MANHATTAN,FELONY,FELONY ASSAULT,2025-09-08T09:15:00,SOCRATA_qgea-i56i
312582402,5,MANHATTAN,FELONY,GRAND LARCENY,2025-09-09T02:00:00,SOCRATA_qgea-i56i
312582403,5,MANHATTAN,FELONY,MISCELLANEOUS PENAL LAW,2025-09-09T07:10:00,SOCRATA_qgea-i56i
312592068,5,MANHATTAN,VIOLATION,HARRASSMENT 2,2025-09-09T08:57:00,SOCRATA_qgea-i56i
312592069,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-09-08T10:45:00,SOCRATA_qgea-i56i
312598998,5,MANHATTAN,FELONY,FORGERY,2025-09-09T12:40:00,SOCRATA_qgea-i56i
312598999,5,MANHATTAN,FELONY,FORGERY,2025-09-09T12:59:00,SOCRATA_qgea-i56i
312599001,5,MANHATTAN,FELONY,GRAND LARCENY,2025-09-09T12:55:00,SOCRATA_qgea-i56i
312607585,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-09-09T15:10:00,SOCRATA_qgea-i56i
312625916,5,MANHATTAN,VIOLATION,HARRASSMENT 2,2025-09-09T09:15:00,SOCRATA_qgea-i56i
312629065,5,MANHATTAN,VIOLATION,HARRASSMENT 2,2025-09-09T13:30:00,SOCRATA_qgea-i56i
312634668,5,MANHATTAN,FELONY,GRAND LARCENY,2025-09-09T20:25:00,SOCRATA_qgea-i56i
312634669,5,MANHATTAN,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,2025-09-08T20:16:00,SOCRATA_qgea-i56i
312650696,5,MANHATTAN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-09-09T17:35:00,SOCRATA_qgea-i56i
312661932,5,MANHATTAN,VIOLATION,HARRASSMENT 2,2025-09-09T14:45:00,SOCRATA_qgea-i56i
312664723,5,MANHATTAN,FELONY,FELONY ASSAULT,2025-09-10T08:35:00,SOCRATA_qgea-i56i
312664724,5,MANHATTAN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-09-10T12:05:00,SOCRATA_qgea-i56i
312664725,5,MANHATTAN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-09-10T12:05:00,SOCRATA_qgea-i56i
312676054,5,MANHATTAN,VIOLATION,HARRASSMENT 2,2025-09-10T00:00:00,SOCRATA_qgea-i56i
312676055,5,MANHATTAN,FELONY,FORGERY,2025-09-10T15:00:00,SOCRATA_qgea-i56i
312679950,5,MANHATTAN,FELONY,BURGLARY,2025-09-10T16:30:00,SOCRATA_qgea-i56i
312679951,5,MANHATTAN,VIOLATION,HARRASSMENT 2,2025-09-10T12:37:00,SOCRATA_qgea-i56i
312684036,5,MANHATTAN,FELONY,FORGERY,2025-09-10T16:00:00,SOCRATA_qgea-i56i
312689480,5,MANHATTAN,VIOLATION,HARRASSMENT 2,2025-09-09T08:55:00,SOCRATA_qgea-i56i
312689481,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-09-10T11:10:00,SOCRATA_qgea-i56i
312689482,5,MANHATTAN,MISDEMEANOR,OFFENSES AGAINST THE PERSON,2025-09-10T11:00:00,SOCRATA_qgea-i56i
312695189,5,MANHATTAN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-09-10T20:00:00,SOCRATA_qgea-i56i
312701099,5,MANHATTAN,MISDEMEANOR,SEX CRIMES,2025-09-10T20:05:00,SOCRATA_qgea-i56i
312701100,5,MANHATTAN,FELONY,FELONY ASSAULT,2025-09-10T20:45:00,SOCRATA_qgea-i56i
312701101,5,MANHATTAN,FELONY,FELONY ASSAULT,2025-09-10T20:45:00,SOCRATA_qgea-i56i
312721072,5,MANHATTAN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-09-10T19:10:00,SOCRATA_qgea-i56i
312728029,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-09-10T13:20:00,SOCRATA_qgea-i56i
312730616,5,MANHATTAN,FELONY,FORGERY,2025-09-11T12:40:00,SOCRATA_qgea-i56i
312740664,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-09-11T07:30:00,SOCRATA_qgea-i56i
312740665,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-09-11T14:48:00,SOCRATA_qgea-i56i
312748170,5,MANHATTAN,FELONY,FORGERY,2025-09-11T16:23:00,SOCRATA_qgea-i56i
312748171,5,MANHATTAN,FELONY,GRAND LARCENY,2025-09-10T15:20:00,SOCRATA_qgea-i56i
312755721,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-09-10T19:58:00,SOCRATA_qgea-i56i
312761171,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-09-11T14:00:00,SOCRATA_qgea-i56i
312761172,5,MANHATTAN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-09-11T20:20:00,SOCRATA_qgea-i56i
312764636,5,MANHATTAN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-09-11T19:55:00,SOCRATA_qgea-i56i
312765369,5,MANHATTAN,FELONY,FELONY ASSAULT,2025-09-11T22:40:00,SOCRATA_qgea-i56i
312765370,5,MANHATTAN,FELONY,FELONY ASSAULT,2025-09-11T22:40:00,SOCRATA_qgea-i56i
312765371,5,MANHATTAN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-09-11T22:40:00,SOCRATA_qgea-i56i
312765372,5,MANHATTAN,MISDEMEANOR,OTHER OFFENSES RELATED TO THEFT,2025-09-11T23:30:00,SOCRATA_qgea-i56i
312776472,5,MANHATTAN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-09-12T04:30:00,SOCRATA_qgea-i56i
312776473,5,MANHATTAN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-09-12T04:30:00,SOCRATA_qgea-i56i
